GeoAreaName;GeoAreaCode;Type of product;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Algeria;0;CPR;2521317;4381600;3789963;6931235;7267988;6549146;7068362;5938952;4042587;9293210;8215549;9281397;10185657;10786036;8664223;9297220;9179087;9085256;12590758;12361072;11012213;8125263;8294182
Algeria;0;CRO;15577233;16976373;19234689;21052621;22080811;23163604;23335020;22215081;22920467;27562976;28006660;33390908;33848570;36474038;37601393;40165228;39719071;39477002;43718131;44088910;43460829;40015016;40784338
Algeria;0;FEO;2843848;2947664;2750390;3889138;4217931;4996732;6110088;5440268;6869445;6992539;5867357;6149628;6952592;6655428;7122789;8029848;6944844;4730897;4838832;4946756;4957845;5187069;5400690
Algeria;0;FOF;46584982;47155768;49389800;49735729;45598756;51704956;48731191;50502313;52397057;53898334;56058826;55645790;55072396;56471916;68751128;68058504;68233516;69522103;73361937;72555819;72514780;75274753;75983290
Algeria;0;GAS;15012982;15839768;17191800;16980729;15958756;23263956;18950191;19571313;19745057;20893334;20364826;21525790;24226396;24641916;27669128;29458504;29567516;30965103;33303937;34031819;30963107;31990570;32084946
Algeria;0;GBO;12244823;12277884;11976165;12280543;12746516;12868862;13341555;13540062;13469317;14119150;14859545;15382932;16028279;16717423;17583468;17904487;17754983;17318007;17283338;17414927;17803265;17946376;18208991
Algeria;0;MEO;3012393;3164807;3043490;4062536;4482116;5302253;6269677;5600294;7145311;7412942;6220507;6440694;7234857;6904780;7371912;8304175;7243403;4953743;5119123;5154913;5178678;5415018;5641461
Algeria;0;NFO;168545;217144;293100;173398;264185;305521;159589;160026;275866;420404;353150;291066;282265;249352;249123;274327;298559;222846;280291;208157;220833;227949;240771
Algeria;0;NMA;1559627;1446097;1568670;1676907;1605690;2055878;1647574;2095333;2113599;1826553;2535531;1505790;1732110;1772219;1079848;210051;-206420;-344146;-264478;-161014;-592974;-650529;-692050
Algeria;0;NMC;76779548;78321510;89055586;101757879;102498604;110921824;128202618;148009359;192188524;191610971;179521867;171805341;173273843;158932740;167487244;203438211;202874540;219448529;228717966;209577039;211792303;224444229;232329301
Algeria;0;NMM;78339176;79767607;90624256;103434786;104104294;112977703;129850192;150104692;194302123;193437524;182057398;173311132;175005953;160704959;168567091;203648261;202668120;219104383;228453489;209416026;211199329;223793701;231637251
Algeria;0;PET;30979000;30769000;31465000;32151000;28730000;27752000;28789000;30105000;31827000;32839000;35694000;34120000;30846000;31830000;41062000;38600000;38666000;38557000;40046000;38516000;41543560;43275907;43890102
Algeria;0;WCH;118804;138010;141455;159211;132490;141840;161772;157899;148881;146582;113449;122084;124750;122892;130241;125869;129476;135862;138887;122389;98681;103766;106474
Algeria;0;WOD;4840180;5015313;5059626;5246129;5563796;5583537;5346708;5662137;5673856;5933903;6161655;6278725;6480767;6518435;6709465;6810362;6769608;6774611;6812845;6459608;6109255;6551868;6342149
American Samoa;0;ALP;1379;4200;7472;5622;4574;4552;5882;7052;4957;5477;5656;4120;4905;3374;2960;6557;5394;3493;6644;3918;3637;6761;6948
American Samoa;0;BIM;1327;4148;7420;5570;4522;4500;5830;7000;4905;5425;5603;4068;4853;3322;2907;6345;5012;3132;6088;3194;2931;6034;6204
American Samoa;0;WCH;846;3667;6939;5089;4041;4019;5349;6519;4424;4944;5123;3587;4372;2841;2427;4358;2252;2318;2028;1435;871;897;921
American Samoa;0;WOD;481;481;481;481;481;481;481;481;481;481;481;481;481;481;481;1987;2760;814;4060;1759;2059;5136;5283
Americas;2;ALP;16493187961;16490993677;16378991390;16619975349;17490310916;17904741089;18211784385;18334869214;17970692276;17071754390;17564891700;18337991501;18679485854;19132170381;19274088216;19460970297;19485188941;19699835579;19746459439;19723641549;19305611675;19715573420;20063201950
Americas;2;BIM;5359535785;5387135340;5428283200;5732160658;5931858770;5894652543;5938837837;6214586394;6392468621;6324630676;6447409537;6509523756;6479632011;6894004206;6879681171;6939961053;7114405623;7166066997;7089621142;7168409044;7196233173;7168703912;7236745552
Americas;2;COL;1035774198;1106503348;1082004614;1062679343;1098428361;1127336053;1162194141;1143971905;1135136725;1042600548;1036750181;1023583053;924687936;912264492;940555534;873073141;723288852;714001509;683693891;662238824;481757483;531724771;530451509
Americas;2;CPR;1192413837;1229866412;1198653328;1332061493;1395417781;1378954406;1397003597;1568522921;1667590159;1622344326;1715733343;1728789369;1724428724;1934116896;1950962327;1993857015;2039570699;2110579417;2036825254;2109382005;2148948279;2098136736;2125840942
Americas;2;CRO;1440583331;1429063622;1441751642;1555555749;1625597138;1591227800;1622727842;1771113540;1890402837;1920595714;1933076581;1965295733;1949382549;2150729142;2126926416;2144629466;2213266276;2174430426;2148209372;2150431825;2142984228;2128601656;2154807608
Americas;2;FEO;207986331;158671615;164020577;161816662;184219275;181071096;239152471;231689529;151734649;135537940;177832489;249628669;229304938;119191851;226781487;206005991;165383315;183950659;174950475;171791901;153129680;159859670;164630137
Americas;2;FOF;3126397261;3256266714;3268739864;3276296657;3347189336;3352105990;3514503204;3633101892;3573996032;3550666831;3592006428;3660409263;3616773221;3643652196;3762080756;3752761044;3486325790;3613450947;3634882317;3746157127;3420440171;3548477460;3581810983
Americas;2;GAS;599118167;615357847;606189178;617438286;617177078;615425514;629399684;646624408;651730864;653786816;673368588;702946826;728645684;735085623;774905764;797617113;801102502;796049574;847047369;892021927;864661583;861265042;868081074
Americas;2;GBO;2103214902;2131803121;2180444456;2238286636;2279337469;2303058335;2318488631;2301317417;2307285188;2303782874;2288516058;2284606763;2274453698;2272021630;2270851701;2277767123;2309251042;2321070177;2330538656;2350936367;2361881171;2387514990;2393233286
Americas;2;MEO;2156255359;2151647559;2067552506;2088754333;2234602673;2293200191;2422098517;2454254163;2384026247;2327934723;2405184760;2549859959;2639466099;2653769867;2798405197;2854170817;2942566536;2919502260;2959634828;2981817796;2863555176;2950888780;3019865067
Americas;2;NFO;1948269027;1992975944;1903531928;1926937671;2050383398;2112129095;2182946046;2222564634;2232291598;2192396783;2227352271;2300231289;2410161161;2534578017;2571623710;2648164826;2777183221;2735551601;2784684353;2810025896;2710425496;2791029110;2855234930
Americas;2;NMA;390065590;370973374;365258753;372928108;411712877;402720354;421077902;435267924;434614246;393666477;433855740;525604520;492635398;540407160;550448785;457249411;526042898;550852712;576586114;581879188;562201210;586556164;604636707
Americas;2;NMC;5460933965;5324970691;5249157068;5149835593;5564947261;5962062011;5915266924;5597658840;5185587131;4474855683;4686435236;5092594004;5450979125;5400336952;5283472306;5456827972;5415848094;5449962664;5485735038;5245378393;5263181945;5460947104;5620143640
Americas;2;NMM;5850999556;5695944065;5614415821;5522763700;5976660138;6364782364;6336344826;6032926764;5620201377;4868522160;5120290976;5618198524;5943614523;5940744112;5833921091;5914077383;5941890992;6000815376;6062321151;5827257581;5825383155;6047503268;6224780348
Americas;2;PET;1259638878;1281937985;1262872177;1284311681;1299364306;1290908051;1312755943;1291162116;1268248861;1246102216;1248108810;1246301988;1236418734;1247374693;1278439551;1302116494;1274782268;1267975438;1285960320;1259110143;1159968483;1194033080;1206372819
Americas;2;WCH;24956983;21844080;23117144;19927931;24882453;23881732;21857400;21450256;20951219;20132944;17103564;21509625;17326443;18137633;15905508;16344087;15192142;16084159;18879560;16311699;15932517;16808727;17313274
Americas;2;WOD;598366733;574558105;584316629;586328850;606623929;597530272;578760366;552182261;506239217;457774819;492979991;509322266;514040598;518998903;515035219;507363362;537125464;543902818;555168301;541347148;526486978;537641803;545550443
Andorra;0;ALP;1466384;1601128;1690220;1699398;1967849;401599;1670948;1516016;1280021;961549;820210;878881;513124;584799;881061;934912;736993;778400;3022147;3141461;3060039;3253681;3393242
Andorra;0;BIM;9490;9618;9572;9496;9672;9603;9568;9590;9423;9396;9404;9412;9423;10305;11108;7165;7029;8402;9578;18864;9063;9137;9303
Andorra;0;COL;30;40;40;40;50;50;10;10;10;10;30;60;41;71;106;107;126;116;97;119;90;123;121
Andorra;0;FEO;28744;33474;32873;36953;39057;-600;38535;29325;27079;22489;23810;14249;8632;8278;10851;10546;10064;5088;12424;11640;11079;11509;11828
Andorra;0;FOF;30;40;40;40;50;50;10;10;10;10;30;60;41;71;106;107;126;116;97;119;90;123;121
Andorra;0;MEO;30170;34798;34538;38710;40886;-1260;40591;30909;28216;23197;24323;14914;9252;8588;11302;11161;10709;5784;13044;12218;11608;12066;12403
Andorra;0;NFO;1426;1324;1665;1757;1830;-660;2056;1583;1137;708;514;665;621;310;451;615;645;696;619;577;529;557;575
Andorra;0;NMA;471083;495704;631443;618132;626712;-3170;663871;544311;491421;392039;288983;306278;172182;127643;146202;174271;176383;181975;201947;186733;182044;192294;199727
Andorra;0;NMC;517828;547697;493534;479269;623141;215413;489818;415545;340821;205716;167646;211924;3785;134481;298847;330236;145103;137421;2269492;2397366;2380280;2532765;2649557
Andorra;0;NMM;988910;1043401;1124977;1097401;1249853;212243;1153689;959856;832243;597754;456629;518203;175966;262124;445050;504508;321486;319396;2471439;2584099;2562324;2725059;2849284
Andorra;0;WCH;1988;2116;2070;1994;2170;2101;2066;2088;1921;1894;1902;1910;1803;1769;1792;1970;1931;1787;1695;1382;1630;1705;1749
Andorra;0;WOD;7502;7502;7502;7502;7502;7502;7502;7502;7502;7502;7502;7502;7620;8536;9316;5195;5098;6615;7884;17482;7433;7432;7554
Angola;0;ALP;48544930;54283762;64290662;67605260;71508148;75182449;85668357;98487210;95007431;146766714;123057125;133713177;234434667;263080892;258443939;231331334;221694825;114946681;146086731;143463024;135822599;140892222;144362581
Angola;0;BIM;24608306;27261247;30188300;31371499;34453232;36743005;37022185;40097631;41180692;48706659;51449073;54718124;44366572;61261983;50604383;51459032;53311380;54539542;56775593;57626604;60033366;60566960;61501831
Angola;0;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;0;CPR;5240723;6284350;7455778;7878447;8923245;9710539;9312144;10307391;10260329;13378891;14407963;15540616;9874707;17621748;13457757;14112557;15391919;15743015;17208153;17571343;18577345;18752298;19112743
Angola;0;CRO;7488672;8981805;10766546;11557854;13686392;14378391;14769581;16492449;17338672;21454967;22822401;24604373;19561776;28358014;21421776;21362374;21872643;22771546;23369249;23690382;24870667;25051525;25564256
Angola;0;FEO;0;0;0;0;0;0;0;465004;0;956891;674418;642342;859886;1044282;1565246;1193865;573250;397710;159334;241680;242441;253118;264166
Angola;0;FOF;2791720;2464520;2514080;2747600;2983444;2600546;3661617;3230974;3981120;2921960;2919372;4701000;3130840;3272751;3724741;3404834;3968403;7299808;7334558;8564261;8314400;6916378;6915376
Angola;0;GAS;396720;362520;424080;444600;526784;456546;477617;582974;465120;471960;501372;513000;519840;287751;218086;526680;559995;644298;663180;966530;997173;879462;885198
Angola;0;GBO;8845100;8896100;8801107;8706120;8527112;9305093;9520805;9741589;9967616;10198787;10435360;10671771;10913777;11161278;11412479;11643445;11794574;11579168;11763619;11901295;12016826;12126269;12303721
Angola;0;MEO;0;0;0;0;0;0;0;510911;0;1039317;756250;739132;943749;1154769;1698881;1248957;602116;448466;194623;278495;281413;293097;306518
Angola;0;NFO;0;0;0;0;0;0;0;45906;0;82426;81832;96790;83863;110487;133635;55091;28866;50756;35288;36815;38972;39979;42351
Angola;0;NMA;14829612;16655860;22200146;22937518;22738218;26200499;33953891;36027106;32962815;51503420;30124110;31125878;31219663;32384772;33009490;34013021;33904052;35522040;35314311;34267026;29026484;30732780;31813995
Angola;0;NMC;6232514;7508163;8819729;9507146;10291400;9223247;10242276;15139942;14336350;32588272;29087298;32513376;143904608;152506963;154715896;130084545;119770125;9316542;38195726;39864772;38175826;40454124;41873303
Angola;0;NMM;21062125;24164023;31019875;32444664;33029618;35423746;44196167;51167048;47299165;84091692;59211408;63639254;175124271;184891735;187725386;164097566;153674177;44838582;73510037;74131798;67202310;71186904;73687298
Angola;0;PET;2395000;2102000;2090000;2303000;2456660;2144000;3184000;2648000;3516000;2450000;2418000;4188000;2611000;2985000;3506655;2878154;3408408;6655510;6671379;7597731;7317226;6036916;6030178
Angola;0;WCH;138798;147267;158578;155461;176634;149978;173599;240798;235932;223145;266937;300543;358628;355673;483092;445977;342233;435251;340064;289974;271186;285393;292903
Angola;0;WOD;2895012;2951724;3006292;3073618;3139850;3199004;3246057;3315405;3378143;3450869;3516414;3600821;3657684;3765271;3829280;3894679;3910011;4010563;4094508;4173610;4297341;4351474;4228208
Anguilla;0;ALP;88144;109260;93349;105080;136234;48663;117792;191063;127067;54817;56120;54584;53481;46288;52476;64060;66279;48895;46338;69184;52348;60498;61143
Anguilla;0;BIM;538;563;588;613;638;663;688;713;739;617;620;884;981;788;876;6207;7481;2439;4196;10572;5947;6707;6913
Anguilla;0;FEO;1123;753;483;694;1120;0;2928;10824;4283;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;MEO;1481;1137;727;937;1468;0;3476;11891;6194;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;NFO;358;384;244;243;347;0;548;1067;1911;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;NMA;979;1094;595;831;1940;0;507;1041;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;NMC;10012;159;1144;1407;159;0;26;540;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;NMM;10991;1253;1739;2238;2098;0;533;1581;857;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;WCH;538;563;588;613;638;663;688;713;739;617;620;884;981;788;876;780;684;758;758;758;835;883;907
Anguilla;0;WOD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5427;6797;1681;3438;9814;5112;5824;6006
Antigua and Barbuda;0;ALP;797640;610379;572900;531415;480474;774739;1404406;1032847;703547;608278;579377;814442;801070;677557;770110;739858;1028443;1029877;1079387;1092659;1015664;1050450;1088410
Antigua and Barbuda;0;BIM;102366;100816;104782;105848;108438;120177;117269;118070;116420;110421;70787;79090;85931;80972;79240;91188;85986;85479;86393;86904;64404;30075;31441
Antigua and Barbuda;0;CPR;465;478;511;550;600;630;663;679;709;704;705;733;740;767;779;800;738;669;593;530;453;493;510
Antigua and Barbuda;0;CRO;25510;22951;24795;23717;25065;36392;32944;32767;31404;28173;27375;35575;39806;36366;35644;36006;34187;39941;40082;38075;23624;-13414;-12898
Antigua and Barbuda;0;FEO;6765;0;0;0;0;10225;14712;12674;0;11935;6956;4488;6236;7900;7792;11479;10329;11957;13768;19274;18279;19537;20364
Antigua and Barbuda;0;FOF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;0;GBO;67467;69383;70525;71565;73055;73046;73355;73970;73780;73480;35620;35621;35623;35622;35642;35876;35601;35610;34399;29754;28498;27581;27955
Antigua and Barbuda;0;MEO;8046;0;0;0;0;11563;16323;15879;0;13301;8037;5599;7031;8926;8820;12600;12014;13256;15267;20815;19760;20995;21837
Antigua and Barbuda;0;NFO;1282;0;0;0;0;1338;1612;3205;0;1366;1081;1111;795;1026;1029;1121;1686;1299;1500;1541;1481;1457;1473
Antigua and Barbuda;0;NMA;-11420;0;0;0;0;2580;2648;1860;0;5157;3794;5744;2185;5143;2420;2857;3227;5176;2053;2356;2198;2443;2568
Antigua and Barbuda;0;NMC;351379;291431;232545;174659;115772;60189;647831;475448;269221;4837;38044;252048;189194;132395;209179;172644;439431;436054;438731;444299;419895;467449;492832
Antigua and Barbuda;0;NMM;339959;291431;232545;174659;115772;62770;650478;477308;269221;9994;41839;257792;191379;137539;211599;175501;442659;441231;440784;446654;422093;469891;495400
Antigua and Barbuda;0;PET;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;0;WCH;2918;1998;2945;4010;3712;4102;4301;4647;4521;3434;3260;4061;6974;5680;4231;4437;4221;4494;4720;4550;4313;4554;4670
Antigua and Barbuda;0;WOD;6006;6006;6006;6006;6006;6006;6006;6006;6006;4630;3826;3100;2788;2537;2945;14068;11240;4765;6598;13996;7517;10861;11204
Argentina;0;ALP;536307380;524339069;523251973;562295462;587753122;640101523;641899802;689129623;696262153;603828752;667753765;728941948;697988849;761686389;756093211;766591118;748977406;839423294;788223002;829661012;800055230;833042093;852670796
Argentina;0;BIM;365153812;366895064;384347483;403593268;403873899;438636865;424887967;458422799;469375262;383648557;422790241;440666102;419054674;477200992;488038811;500521173;501396811;551919589;510133222;570545186;570920656;575032282;581907070
Argentina;0;COL;1068159;812067;733208;926728;946110;1410452;1469119;1292000;1440119;1205752;1509000;1780000;1855000;1743000;2084000;2010000;1617000;1530000;1754000;979000;1448187;1669965;1673683
Argentina;0;CPR;115992827;117442439;118732604;122895793;119308994;147290051;131733120;159904389;165367351;109518024;161569728;175328959;156645137;186053702;190441595;205570888;215444297;241304015;205176201;259045067;256808509;259511960;262404142
Argentina;0;CRO;48526527;48985950;53004665;52726614;51038556;57493546;54829573;58474370;68391576;49927590;56530954;64225648;53280697;76966230;83053474;84159872;70634141;87042467;82104586;87506519;92141685;98407480;99373845
Argentina;0;FEO;4654402;3806342;3370306;4938366;5642611;6132799;6644519;6056913;8357175;3730369;7220721;7956910;6004664;6887126;7190102;6620809;5140544;6375753;7038192;4359530;4216877;4492605;4754756
Argentina;0;FOF;54735155;54292401;52281811;56114220;62242024;62150186;66057344;66949567;67376300;64214047;65287738;65370107;65251134;64335432;64950434;65854644;64569606;64245958;62893449;62987765;59972999;70028099;70766465
Argentina;0;GAS;25467996;23803334;22995603;25369492;30417914;30063734;30752225;31913567;32971181;32176295;31762738;33782107;34771134;33275432;33816434;34083644;35101606;35134958;35063449;34890559;32523056;39533424;39996420
Argentina;0;GBO;193517931;194107705;205471004;219947621;223832489;224615763;229232894;230998203;226836023;215381353;195120511;191539140;198568096;202485863;204770294;200037721;204235477;212033094;211849092;212884194;211012704;206390956;209011454
Argentina;0;MEO;35782341;44525244;47065855;47018329;44907446;47754073;56005996;55153994;55179804;53294831;64266152;60439360;60581399;57449356;59588455;55833399;53542964;49883286;47166018;40067109;27408701;28008698;28517593
